Average RMSE of model for death_total: 94.44470017729364, epochs: 10, batch_size: 50, all data\
Average RMSE of model for death_total: 27.438935364871632, epochs: 50, batch_size: 1, data from 2020-04-01\
Average RMSE of model for death_total: 14.537471012434112, epochs: 50, batch_size: 1, all data\
Average RMSE of model for death_total: 43.455915616441025, epochs: 50, batch_size: 5, data from 2020-04-01\
Average RMSE of model for death_total: 14.080930769561752, epochs: 50, batch_size: 5, all data\
Average RMSE of model for death_total: 21.71011317005493, epochs: 50, batch_size: 10, data from 2020-04-01\
Average RMSE of model for death_total: 16.622657080296257, epochs: 50, batch_size: 10, all data\
Average RMSE of model for death_total: 67.42313529043732, epochs: 50, batch_size: 15, data from 2020-04-01\
Average RMSE of model for death_total: 14.955651384675017, epochs: 50, batch_size: 15, all data\
Average RMSE of model for death_total: 47.95334813187274, epochs: 50, batch_size: 30, data from 2020-04-01\
Average RMSE of model for death_total: 37.797365665850165, epochs: 50, batch_size: 30, all data\
Average RMSE of model for death_total: 29.292469685810314, epochs: 50, batch_size: 50, data from 2020-04-01\
Average RMSE of model for death_total: 18.70676471260192, epochs: 50, batch_size: 50, all data\
Average RMSE of model for death_total: 19.208709856860615, epochs: 100, batch_size: 1, data from 2020-04-01\
Average RMSE of model for death_total: 17.058918038796627, epochs: 100, batch_size: 1, all data\
Average RMSE of model for death_total: 41.93755387220417, epochs: 100, batch_size: 5, data from 2020-04-01\
Average RMSE of model for death_total: 11.54735040106922, epochs: 100, batch_size: 5, all data\
Average RMSE of model for death_total: 46.19653059177811, epochs: 100, batch_size: 10, data from 2020-04-01\
Average RMSE of model for death_total: 13.503800252401186, epochs: 100, batch_size: 10, all data\
Average RMSE of model for death_total: 45.983012444197065, epochs: 100, batch_size: 15, data from 2020-04-01\
Average RMSE of model for death_total: 12.292276044841831, epochs: 100, batch_size: 15, all data\
Average RMSE of model for death_total: 22.462962796664748, epochs: 100, batch_size: 30, data from 2020-04-01\
Average RMSE of model for death_total: 18.202663499644355, epochs: 100, batch_size: 30, all data\
Average RMSE of model for death_total: 74.16182521201549, epochs: 100, batch_size: 50, data from 2020-04-01\
Average RMSE of model for death_total: 10.471875240449208, epochs: 100, batch_size: 50, all data\
Average RMSE of model for death_total: 21.74415556837605, epochs: 200, batch_size: 1, data from 2020-04-01\
Average RMSE of model for death_total: 13.709068085681578, epochs: 200, batch_size: 1, all data\
Average RMSE of model for death_total: 26.635772446487923, epochs: 200, batch_size: 5, data from 2020-04-01\
Average RMSE of model for death_total: 11.878217564979606, epochs: 200, batch_size: 5, all data\
Average RMSE of model for death_total: 17.99884199339842, epochs: 200, batch_size: 10, data from 2020-04-01\
Average RMSE of model for death_total: 12.549487375666045, epochs: 200, batch_size: 10, all data\
Average RMSE of model for death_total: 70.41739889262003, epochs: 200, batch_size: 15, data from 2020-04-01\
Average RMSE of model for death_total: 11.193087452228875, epochs: 200, batch_size: 15, all data\
Average RMSE of model for death_total: 22.968753046372385, epochs: 200, batch_size: 30, data from 2020-04-01\
Average RMSE of model for death_total: 12.243019282294831, epochs: 200, batch_size: 30, all data\
Average RMSE of model for death_total: 63.714765232718975, epochs: 200, batch_size: 50, data from 2020-04-01\
Average RMSE of model for death_total: 13.140353849732167, epochs: 200, batch_size: 50, all data\
Average RMSE of model for death_total: 16.90625121065515, epochs: 500, batch_size: 1, data from 2020-04-01\
Average RMSE of model for death_total: 14.350046975661284, epochs: 500, batch_size: 1, all data\
Average RMSE of model for death_total: 28.04448250876526, epochs: 500, batch_size: 5, data from 2020-04-01\
Average RMSE of model for death_total: 10.017199409727557, epochs: 500, batch_size: 5, all data\
Average RMSE of model for death_total: 20.730168130369204, epochs: 500, batch_size: 10, data from 2020-04-01\
Average RMSE of model for death_total: 9.849109518551787, epochs: 500, batch_size: 10, all data\
Average RMSE of model for death_total: 45.32683941057059, epochs: 500, batch_size: 15, data from 2020-04-01\
Average RMSE of model for death_total: 9.825420328784856, epochs: 500, batch_size: 15, all data\
Average RMSE of model for death_total: 26.82141948504024, epochs: 500, batch_size: 30, data from 2020-04-01\
Average RMSE of model for death_total: 12.748123501089232, epochs: 500, batch_size: 30, all data\
Average RMSE of model for death_total: 84.59678193037682, epochs: 500, batch_size: 50, data from 2020-04-01\
Average RMSE of model for death_total: 12.287115349790781, epochs: 500, batch_size: 50, all data\
Average RMSE of model for death_total: 19.586731109457833, epochs: 1000, batch_size: 1, data from 2020-04-01\
Average RMSE of model for death_total: 15.321846257248351, epochs: 1000, batch_size: 1, all data\
Average RMSE of model for death_total: 18.259103033834467, epochs: 1000, batch_size: 5, data from 2020-04-01\
Average RMSE of model for death_total: 11.195966257774455, epochs: 1000, batch_size: 5, all data\
